1 194 1
1 1319 1
1 2293 1
1 4528 1
1 5052 1
1 5517 1
1 5638 1
1 6737 1
1 7573 1
1 8189 1
1 8297 1
1 10067 1
2 52 1
2 131 1
2 1654 1
2 1917 1
2 2449 1
2 4429 1
2 6088 1
2 6950 1
2 7066 1
2 8201 1
2 8776 1
2 8885 1
2 9158 1
2 9399 1
2 9716 1
3 348 1
3 1204 1
3 1403 1
3 2949 1
3 3539 1
3 5153 1
3 6594 1
3 6915 1
3 7444 1
3 8863 1
3 9272 1
3 10213 1
4 1630 1
4 2060 1
4 3307 1
4 3478 1
4 3482 2
4 3729 1
4 4900 1
4 5810 1
4 6548 1
4 6576 1
4 9663 1
5 858 3
5 1043 1
5 2016 1
5 2648 1
5 3363 1
5 4427 1
5 4659 1
5 6950 1
5 7025 1
5 7066 1
5 7071 1
5 7799 1
5 8203 1
5 8885 1
5 8927 1
5 9422 1
5 10191 1
6 84 1
6 117 1
6 830 1
6 1954 2
6 1986 1
6 2559 2
6 2726 1
6 2985 1
6 3461 1
6 4316 2
6 4396 2
6 4917 1
6 4955 1
6 5045 1
6 5283 1
6 5289 1
6 5292 1
6 5295 1
6 5296 1
6 5572 1
6 5808 1
6 5900 4
6 5953 1
6 6135 1
6 6317 1
6 6958 1
6 7763 3
6 7765 2
6 7801 1
6 8237 1
6 9030 1
6 9379 2
6 9424 1
6 9654 1
6 10073 2
6 10468 1
6 10634 1
7 1004 3
7 1239 1
7 1588 1
7 1599 1
7 2306 1
7 2460 1
7 2527 1
7 2740 1
7 3311 1
7 3405 1
7 3626 1
7 4226 1
7 4329 1
7 4330 3
7 4955 1
7 5607 1
7 5763 1
7 6124 1
7 6576 1
7 6839 1
7 6904 1
7 7144 1
7 7367 1
7 7612 1
7 7664 1
7 9164 1
7 9186 1
7 9194 1
7 9515 1
7 9546 1
7 9654 1
8 323 1
8 401 1
8 753 1
8 871 2
8 1388 1
8 1390 1
8 1625 2
8 1628 1
8 1849 1
8 2013 1
8 2124 1
8 2823 1
8 2914 2
8 2929 1
8 3153 1
8 3864 1
8 4429 1
8 4481 1
8 4582 1
8 4851 1
8 4917 2
8 4918 1
8 5177 1
8 5337 1
8 5389 1
8 5873 4
8 5907 1
8 5955 1
8 5956 2
8 5957 1
8 5979 1
8 6157 1
8 6210 1
8 6487 1
8 6582 1
8 6587 1
8 6734 1
8 6746 1
8 7150 2
8 7346 1
8 7391 2
8 7612 1
8 7708 1
8 7771 1
8 8061 1
8 8426 1
8 8643 1
8 9064 1
8 9109 1
8 10312 1
8 10376 3
8 10495 1
8 10664 1
9 1316 1
9 2812 1
9 4851 1
9 5611 1
9 6734 1
9 6737 1
9 7150 1
9 8338 1
9 8658 1
9 9744 1
10 4127 1
10 7433 1
10 7763 1
11 344 1
11 1263 2
11 1295 1
11 1319 2
11 1440 1
11 3428 1
11 3727 1
11 3730 1
11 5121 1
11 6744 1
11 7469 1
11 7551 1
11 8103 1
11 8555 1
